"","name","pval","adj_pval","significance"
"ENSMUSG00000086022","Rad51ap2",1.20752391114965e-15,1.06004044635642e-13,1
"ENSMUSG00000039210","Gpatch2",1.25965793423251e-15,1.1013659793645e-13,1
"ENSMUSG00000038058","Nod1",1.3037316483008e-15,1.13534166860627e-13,1
"ENSMUSG00000043773","1700048O20Rik",1.37232780020878e-15,1.19031667483447e-13,1
"ENSMUSG00000039485","Tspyl4",1.38378223570409e-15,1.19548901006007e-13,1
"ENSMUSG00000026609","Ush2a",1.52006118177083e-15,1.30803367542817e-13,1
"ENSMUSG00000022376","Adcy8",1.59974847363386e-15,1.371185985019e-13,1
"ENSMUSG00000024992","Pde6c",1.66062041137612e-15,1.41777909710076e-13,1
"ENSMUSG00000025551","Fgf14",1.6777668982809e-15,1.42127093939585e-13,1
"ENSMUSG00000085148","Mir22hg",1.67371241489456e-15,1.42127093939585e-13,1
"ENSMUSG00000006412","Pfdn2",1.97408774345649e-15,1.66580869235625e-13,1
"ENSMUSG00000038527","C1rl",2.00294122889183e-15,1.68363063684185e-13,1
"ENSMUSG00000004110","Cacna1e",2.13245588599981e-15,1.77876234077019e-13,1
"ENSMUSG00000035232","Pdk3",2.12925949035072e-15,1.77876234077019e-13,1
"ENSMUSG00000039108","Lsm14b",2.39414273403002e-15,1.98942295658655e-13,1
"ENSMUSG00000031906","Smpd3",2.42785720634467e-15,1.99795994384694e-13,1
"ENSMUSG00000034438","Gbp8",2.43194793587543e-15,1.99795994384694e-13,1
"ENSMUSG00000045394","Epcam",2.42053370650598e-15,1.99795994384694e-13,1
"ENSMUSG00000031392","Irak1",2.7451439272176e-15,2.24678678343813e-13,1
"ENSMUSG00000087259","2610035D17Rik",2.80510880573974e-15,2.2872668093543e-13,1
"ENSMUSG00000032366","Tpm1",2.85176395279951e-15,2.31259227951216e-13,1
"ENSMUSG00000045287","Rtn4rl1",2.85741271962138e-15,2.31259227951216e-13,1
"ENSMUSG00000015120","Ube2i",3.12785244326752e-15,2.52209168675471e-13,1
"ENSMUSG00000032776","Mctp2",3.15145335239612e-15,2.53174505295262e-13,1
"ENSMUSG00000031323","Dmrtc1a",3.19777913390261e-15,2.55014100821222e-13,1
"ENSMUSG00000089759","3632454L22Rik",3.19197837509627e-15,2.55014100821222e-13,1
"ENSMUSG00000028128","F3",3.27094139496643e-15,2.59896587992023e-13,1
"ENSMUSG00000063531","Sema3e",3.43496892238607e-15,2.71937121488244e-13,1
"ENSMUSG00000036466","Megf11",3.83498450806236e-15,3.02472318977634e-13,1
"ENSMUSG00000037852","Cpe",3.84846044540005e-15,3.02472318977634e-13,1
"ENSMUSG00000050272","Dscam",4.16824796658176e-15,3.26427793095149e-13,1
"ENSMUSG00000034918","Cdhr2",4.22205018218106e-15,3.2945610937729e-13,1
"ENSMUSG00000025656","Arhgef9",4.28897489778016e-15,3.334831160699e-13,1
"ENSMUSG00000032020","Ubash3b",4.50168715008649e-15,3.48776622578409e-13,1
"ENSMUSG00000032064","Dixdc1",4.61272743839865e-15,3.56112372558075e-13,1
"ENSMUSG00000025218","Poll",4.63867383146119e-15,3.56850063550323e-13,1
"ENSMUSG00000064280","Ccdc146",4.73271656445234e-15,3.6280271945314e-13,1
"ENSMUSG00000055026","Gabrg3",5.12789682486166e-15,3.91717339558116e-13,1
"ENSMUSG00000039648","Ccbl1",5.5243112994045e-15,4.19288066650292e-13,1
"ENSMUSG00000052889","Prkcb",5.52733797844076e-15,4.19288066650292e-13,1
"ENSMUSG00000014837","4931428F04Rik",5.81585303973963e-15,4.39642140722817e-13,1
"ENSMUSG00000052142","Rasal3",5.94071951984658e-15,4.47527351787473e-13,1
"ENSMUSG00000030662","Ipo5",6.13692672597389e-15,4.59130693303016e-13,1
"ENSMUSG00000036098","Myrf",6.12597496847411e-15,4.59130693303016e-13,1
"ENSMUSG00000016942","Tmprss6",6.2068304526919e-15,4.62770225292998e-13,1
"ENSMUSG00000026189","Pecr",6.35560706168304e-15,4.72245465323896e-13,1
"ENSMUSG00000029211","Gabra4",6.43450734737146e-15,4.7648183489668e-13,1
"ENSMUSG00000028869","Gnl2",7.08994478275909e-15,5.23237924967621e-13,1
"ENSMUSG00000051185","Fam174a",7.67594697563109e-15,5.64571086508326e-13,1
"ENSMUSG00000044288","Cnr1",7.73347317690145e-15,5.66887018634079e-13,1
"ENSMUSG00000036782","Klhl13",8.82747093224149e-15,6.44908958610166e-13,1
"ENSMUSG00000036502","Tmem255a",9.1277911266037e-15,6.64619199388927e-13,1
"ENSMUSG00000022350","E430025E21Rik",9.62059962257685e-15,6.98166914610402e-13,1
"ENSMUSG00000086624","Gm16130",1.0991758981909e-14,7.95021876395817e-13,1
